FBpp_ID	Species	muscle_dietM	whole_body_dietM	muscle_dietP	whole_body_dietP
FBpp0307912	Dmel	0.299288205779812	0.207239885395562	0.308661929327224	0.184809979497402
FBpp0077614	Dmel	0.0503550013422592	0.432372345554072	0.0825016378627634	0.434771015240905
FBpp0290630	Dmel	0.156526063255234	0.361355245485207	0.137496503944773	0.344622187314786
FBpp0077662	Dmel	0.00479247261044828	0.514079090511375	0.0200299069353261	0.461098529942851
FBpp0077616	Dmel	0.00238365936384002	0.483874901456581	0.00438458673887942	0.509356852440699
FBpp0077658	Dmel	0.217175598722174	0.29545752765615	0.201146822478158	0.286220051143519
FBpp0077617	Dmel	0.236120532771473	0.28048679411433	0.214280107721864	0.269112565392333
FBpp0077618	Dmel	0.267974584873589	0.23621031283661	0.252647380380875	0.243167721908926
FBpp0304825	Dmel	0.166973284590024	0.325067994479025	0.197083682688346	0.310875038242605
FBpp0304562	Dmel	0.201879708146155	0.32003531172786	0.162636470966334	0.315448509159652
FBpp0077619	Dmel	0.00703810573854531	0.529198939090541	0.0152394985929615	0.448523456577952
FBpp0077620	Dmel	0.0434601020852488	0.460005058658221	0.02771070539538	0.46882413386115
FBpp0077652	Dmel	0.246145453438674	0.251320481253789	0.253483539286128	0.249050526021409
FBpp0077621	Dmel	0.238086553739053	0.26915152876269	0.231417368816811	0.261344548681445
FBpp0077651	Dmel	0.243817995647934	0.490035944608514	0.155585218041101	0.110560841702452
FBpp0304560	Dmel	0.204430471025336	0.31616613916865	0.168409894302404	0.31099349550361
FBpp0077623	Dmel	0.196338231670553	0.294408716845346	0.239406795644198	0.269846255839903
FBpp0077624	Dmel	0.267304885425916	0.250588954628184	0.244472961381043	0.237633198564857
FBpp0077650	Dmel	0.232944593074349	0.276805857772834	0.210923526367174	0.279326022785644
FBpp0077625	Dmel	0.252214464060345	0.25044866768495	0.244037734503443	0.253299133751261
FBpp0099391	Dmel	0.260833331418682	0.240410718170849	0.255896305310648	0.242859645099821
FBpp0077626	Dmel	0.251023096296232	0.257720192303468	0.233706561234799	0.257550150165501
FBpp0077646	Dmel	0.221555164914756	0.303312314834828	0.176902557170216	0.298229963080201
FBpp0077627	Dmel	0.251036445016891	0.252123864057967	0.239091256005432	0.257748434919711
FBpp0077629	Dmel	0.260399380011038	0.239622213709526	0.253992796276921	0.245985610002514
FBpp0077645	Dmel	0.255851693561975	0.244240868502377	0.252588890736312	0.247318547199336
FBpp0077630	Dmel	0.247733667760344	0.252348718899577	0.239722415802011	0.260195197538069
FBpp0077644	Dmel	0.24961468108712	0.254198239834077	0.236680657468062	0.259506421610742
FBpp0077631	Dmel	0.260006395607603	0.248933885210096	0.247594481597479	0.243465237584823
FBpp0077633	Dmel	0.238832458664397	0.269993717603291	0.228220221182949	0.262953602549363
FBpp0077643	Dmel	0.245768631664358	0.259597393822888	0.239726396454276	0.254907578058478
FBpp0077636	Dmel	0.2279610410333	0.298892142651823	0.187244443347461	0.285902372967415
FBpp0297899	Dmel	0.280186306158229	0.225631274722522	0.271424894583441	0.222757524535809
FBpp0077642	Dmel	0.0162271282471907	0.514306374572082	0.0265221983963602	0.442944298784367
FBpp0297939	Dmel	0.0459260673072793	0.464439467983338	0	0.489634464709383
FBpp0297940	Dmel	0.00734799684400388	0.510303901559678	0.00547688831174059	0.476871213284578
FBpp0077638	Dmel	0.00825031518438531	0.515466855414832	0	0.476282829400782
FBpp0112990	Dmel	0.0404646061020335	0.460033207497908	0.0360608131363943	0.463441373263664
FBpp0289074	Dmel	0.230144992976728	0.424760647737355	0.119132275505019	0.225962083780898
FBpp0077586	Dmel	0.252578254012348	0.263956128462048	0.223998845709967	0.259466771815637
FBpp0077587	Dmel	0.0456115936497127	0.442524127481438	0.0773524216460929	0.434511857222757
FBpp0077588	Dmel	0.523311425027332	0	0	0.476688574972668
FBpp0294003	Dmel	0.00453626780815454	0.501343043368358	0	0.494120688823488
FBpp0310392	Dmel	0.728956316737574	0	0	0.271043683262426
FBpp0091161	Dmel	0.377922479983237	0.297657452176874	0	0.324420067839889
FBpp0077590	Dmel	0.0161640813092109	0.517698401331993	0	0.466137517358796
FBpp0077613	Dmel	0	0.538683439150228	0.00279304727621688	0.458523513573555
FBpp0077612	Dmel	0.00283413351283351	0.527031752663631	0.00702792040721665	0.463106193416319
FBpp0077611	Dmel	0	0.544327561090006	0.00503895500631012	0.450633483903684
FBpp0077609	Dmel	0.00305951168858848	0.532484929724815	0	0.464455558586596
FBpp0077608	Dmel	0	0.529914033858849	0	0.470085966141151
FBpp0302979	Dmel	0.205072110183915	0.320837483145387	0.116676953858397	0.357413452812301
FBpp0077592	Dmel	0	0.511792847514605	0.00772934262174063	0.480477809863655
FBpp0303020	Dmel	0.191447465629448	0.310327191995362	0.180070749859778	0.318154592515413
FBpp0310388	Dmel	0	0.606799636146583	0	0.393200363853416
